파일명,클러스터,구간-시작(초),구간-종료(초),최소 주파수(Hz),최대 주파수(Hz),최빈값(Hz),최대 진폭(dB SPL)
1238.wav,2,0.00,0.53,91.80,91.80,91.80,66.31
1239.wav,1,0.07,1.00,77.03,77.03,77.03,60.99
1240.wav,0,0.00,0.14,62.25,62.25,62.25,63.04
1241.wav,0,0.02,1.00,62.25,62.25,62.25,69.14
1242.wav,1,0.07,0.95,77.03,77.03,77.03,71.39
1243.wav,3,0.02,1.00,106.57,106.57,106.57,69.90
1244.wav,0,0.00,0.33,62.25,62.25,62.25,59.69
1245.wav,0,0.00,0.86,62.25,62.25,62.25,60.69
1246.wav,3,0.02,0.86,121.35,121.35,121.35,65.06
1247.wav,6,0.02,0.72,180.45,180.45,180.45,55.49
1250.wav,0,0.42,0.74,136.12,136.12,136.12,58.22
1252.wav,0,0.35,0.95,121.35,121.35,121.35,59.81
1253.wav,1,0.02,0.98,121.35,121.35,121.35,60.75
1254.wav,0,0.00,0.98,106.57,106.57,106.57,63.98
1255.wav,0,0.02,0.37,106.57,106.57,106.57,60.57
1257.wav,0,0.05,0.72,77.03,77.03,77.03,59.93
1258.wav,0,0.05,0.93,121.35,121.35,121.35,56.74
1259.wav,2,0.14,0.98,121.35,121.35,121.35,62.37
1260.wav,0,0.00,0.98,106.57,106.57,106.57,61.44
1261.wav,1,0.02,0.14,106.57,106.57,106.57,58.26
1261.wav,3,0.28,0.81,136.12,136.12,136.12,54.79
1262.wav,0,0.05,0.98,136.12,136.12,136.12,51.42
1263.wav,2,0.07,0.74,121.35,121.35,121.35,68.06
1263.wav,6,0.86,0.98,180.45,180.45,180.45,57.05
1264.wav,0,0.28,0.95,224.77,224.77,224.77,54.57
1265.wav,2,0.02,0.65,121.35,121.35,121.35,60.02
1266.wav,1,0.00,0.98,136.12,136.12,136.12,56.79
1267.wav,1,0.02,0.95,77.03,77.03,77.03,71.82
1268.wav,1,0.00,1.00,77.03,77.03,77.03,71.85
1269.wav,0,0.02,0.91,77.03,77.03,77.03,64.94
1270.wav,1,0.12,0.98,106.57,106.57,106.57,52.99
1271.wav,0,0.02,0.67,91.80,91.80,91.80,56.04
1275.wav,0,0.28,0.86,77.03,77.03,77.03,62.93
1276.wav,1,0.19,0.84,77.03,77.03,77.03,68.53
1277.wav,2,0.33,0.98,121.35,121.35,121.35,57.64
1278.wav,1,0.00,0.74,77.03,77.03,77.03,65.63
1279.wav,0,0.02,0.91,62.25,62.25,62.25,69.39
1280.wav,1,0.00,1.00,91.80,91.80,91.80,67.63
1281.wav,5,0.00,0.12,313.41,313.41,313.41,61.26
1281.wav,2,0.16,1.00,91.80,91.80,91.80,63.04
1282.wav,2,0.02,0.74,106.57,106.57,106.57,60.87
1283.wav,7,0.00,0.09,978.26,978.26,978.26,63.07
1283.wav,3,0.12,0.30,106.57,106.57,106.57,62.83
1284.wav,1,0.02,0.95,77.03,77.03,77.03,80.72
1285.wav,2,0.02,0.98,91.80,91.80,91.80,77.59
1286.wav,0,0.00,0.86,62.25,62.25,62.25,81.83
1287.wav,0,0.02,0.91,77.03,77.03,77.03,60.26
1288.wav,1,0.02,0.81,77.03,77.03,77.03,68.52
1289.wav,1,0.12,0.98,77.03,77.03,77.03,77.01
1290.wav,2,0.00,0.16,520.26,520.26,520.26,64.94
1291.wav,1,0.07,0.95,77.03,77.03,77.03,71.39
1292.wav,8,0.00,0.46,195.22,195.22,195.22,66.31
1293.wav,2,0.00,0.79,91.80,91.80,91.80,67.65
1294.wav,7,0.02,0.51,165.67,165.67,165.67,101.80
1295.wav,2,0.00,0.91,106.57,106.57,106.57,65.16
1296.wav,1,0.02,0.93,77.03,77.03,77.03,60.85
1297.wav,1,0.00,0.91,77.03,77.03,77.03,79.72
1298.wav,2,0.00,0.84,91.80,91.80,91.80,60.11
1299.wav,4,0.00,0.98,121.35,121.35,121.35,60.20
1300.wav,0,0.00,0.77,62.25,62.25,62.25,59.55
1301.wav,1,0.05,0.98,77.03,77.03,77.03,65.74
1302.wav,1,0.02,0.98,77.03,77.03,77.03,72.45
1303.wav,4,0.00,0.95,121.35,121.35,121.35,64.94
1304.wav,0,0.00,0.98,62.25,62.25,62.25,59.89
1305.wav,11,0.05,0.93,269.09,269.09,269.09,64.94
1306.wav,4,0.00,0.95,121.35,121.35,121.35,61.67
1307.wav,0,0.05,0.81,77.03,77.03,77.03,64.01
1308.wav,1,0.02,0.98,77.03,77.03,77.03,85.48
1309.wav,3,0.00,1.00,121.35,121.35,121.35,69.42
1310.wav,2,0.00,1.00,91.80,91.80,91.80,71.17
1311.wav,0,0.00,1.00,62.25,62.25,62.25,76.42
1312.wav,0,0.00,0.98,62.25,62.25,62.25,63.54
1313.wav,1,0.02,1.00,77.03,77.03,77.03,73.51
1314.wav,1,0.00,1.00,77.03,77.03,77.03,69.34
1315.wav,0,0.00,0.93,62.25,62.25,62.25,63.40
1316.wav,0,0.02,0.93,62.25,62.25,62.25,67.39
1317.wav,0,0.00,1.00,62.25,62.25,62.25,62.37
1318.wav,0,0.00,1.00,62.25,62.25,62.25,65.96
1319.wav,2,0.05,1.00,91.80,91.80,91.80,67.59
1320.wav,0,0.00,1.00,62.25,62.25,62.25,67.32
1321.wav,0,0.00,1.00,62.25,62.25,62.25,69.22
1322.wav,0,0.00,1.00,62.25,62.25,62.25,64.01
1323.wav,0,0.00,1.00,62.25,62.25,62.25,68.49
1324.wav,0,0.00,1.00,62.25,62.25,62.25,66.64
1325.wav,0,0.00,0.95,62.25,62.25,62.25,72.10
1326.wav,0,0.00,1.00,62.25,62.25,62.25,70.13
1327.wav,0,0.00,1.00,62.25,62.25,62.25,69.54
1328.wav,0,0.00,1.00,62.25,62.25,62.25,73.48
1329.wav,0,0.00,1.00,62.25,62.25,62.25,70.68
1330.wav,0,0.00,1.00,62.25,62.25,62.25,69.77
1331.wav,0,0.00,1.00,62.25,62.25,62.25,75.35
1332.wav,1,0.00,1.00,77.03,77.03,77.03,78.52
1333.wav,0,0.00,1.00,62.25,62.25,62.25,77.54
1334.wav,0,0.00,1.00,62.25,62.25,62.25,68.13
1335.wav,0,0.00,1.00,62.25,62.25,62.25,70.33
1336.wav,0,0.00,1.00,62.25,62.25,62.25,82.05
1337.wav,0,0.00,1.00,62.25,62.25,62.25,68.65
1338.wav,0,0.00,1.00,62.25,62.25,62.25,70.37
1339.wav,0,0.00,0.98,62.25,62.25,62.25,71.22
1340.wav,0,0.00,1.00,62.25,62.25,62.25,75.99
1341.wav,0,0.00,1.00,62.25,62.25,62.25,69.15
1342.wav,0,0.00,1.00,62.25,62.25,62.25,71.64
